,id,username,created_at,date,Sentiment,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
1426,1.51E+18,bookofthefuture,1.65E+12,21/3/2022 0:54,,"@RutlandRoo @NewElectricDIY @ZacksJerryRig @Superfast Nice! I'm working on an upgrade of my EV-swapped BMW Z3, and a second one with double the power :-)",en,[],[],https://twitter.com/bookofthefuture/status/1505588496509161485,[],[],0,,0,0,0
1427,1.51E+18,sacbee_news,1.65E+12,21/3/2022 0:49,,"The chase in a white BMW ended in Sacramento’s Natomas neighborhood, police said  https://t.co/LAh0cgMG9T",en,[],[],https://twitter.com/sacbee_news/status/1505587319033810945,['https://trib.al/ntkbKI0'],[],0,,2,0,1
1429,1.51E+18,BMW,1.65E+12,21/3/2022 0:20,,"@NoChinaNoRussia @BMWGroup @BMWUSA @VW @UKVolkswagen @Tobias_Ellwood We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production and exports in Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505579963986104328,[],[],0,,1,1,0
1432,1.51E+18,BMWMotorrad,1.65E+12,21/3/2022 0:00,,"Created for being customized, the BMW #RnineT can easily turn into a racing machine — highlighted by an innovative performance kit to provide a sporty set-up. Ready to race with the ARES Bullet by @AresModena? 🤘  #MakeLifeARide #SoulFuel #CustomBike #NotForSale #BMWMotorrad  https://t.co/Mqm9fKaCsl",en,"['rninet', 'makelifearide', 'soulfuel', 'custombike', 'notforsale', 'bmwmotorrad']",[],https://twitter.com/BMWMotorrad/status/1505574956704403457,[],"['https://pbs.twimg.com/media/FOTgbElWUAM_VIT.jpg', 'https://pbs.twimg.com/media/FOTgbcnX0AcXYMN.jpg', 'https://pbs.twimg.com/media/FOTgbyuXwAMNXNX.jpg', 'https://pbs.twimg.com/media/FOTgcRxXEAk1GkE.jpg']",1,https://pbs.twimg.com/media/FOTgbElWUAM_VIT.jpg,92,1,17
1434,1.51E+18,verge,1.65E+12,20/3/2022 23:33,,T-Mobile teams up with BMW for the first 5G-connected cars in the US  https://t.co/6cs46imNcI  https://t.co/2xDZ74sgpr,en,[],[],https://twitter.com/verge/status/1505568114049794056,['https://trib.al/XIYmeFs'],['https://pbs.twimg.com/media/FOTaOLkXsAQPgg4.jpg'],1,https://pbs.twimg.com/media/FOTaOLkXsAQPgg4.jpg,81,6,15
1436,1.51E+18,BMW,1.65E+12,20/3/2022 23:26,,"@KoroMimo We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production and exports in Russia until further notice. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505566558197886979,[],[],0,,2,0,0
1439,1.51E+18,HTAutotweets,1.65E+12,20/3/2022 23:00,,2023 @BMW X5 facelift is expected to come with a more powerful and upgraded engine   https://t.co/HpclDOV1TN,en,[],[],https://twitter.com/HTAutotweets/status/1505559793422921730,['https://auto.hindustantimes.com/auto/cars/2023-bmw-x5-facelift-in-work-to-debut-in-april-next-year-41647775797088.html'],[],0,,0,0,1
1445,1.51E+18,Motorsport,1.65E+12,20/3/2022 21:58,,BMW feels cruel luck denied its new M4 GT3 car a double podium finish in the Sebring 12 Hours. #IMSA   https://t.co/jDGzOQofwC,en,['imsa'],[],https://twitter.com/Motorsport/status/1505544330362384392,['https://www.motorsport.com/imsa/news/bmw-double-sebring-podium-possible/9156737/'],[],0,,18,2,1
1446,1.51E+18,BMW,1.65E+12,20/3/2022 21:39,,"@DianaPeretyatk0 @BMWUSA Hi Diana, to clarify - due to the current geopolitical situation, we are discontinuing our local production in Russia and vehicle-export to the Russian market.",en,[],[],https://twitter.com/BMW/status/1505539630342590465,[],[],0,,1,0,0
1447,1.51E+18,BMW,1.65E+12,20/3/2022 21:39,,"@SaTo_Kyiv @VW @MercedesBenz Hi there, due to the current geopolitical situation, we are discontinuing our local production in Russia and vehicle-export to the Russian market.",en,[],[],https://twitter.com/BMW/status/1505539446778871814,[],[],0,,1,0,0
1448,1.51E+18,therealautoblog,1.65E+12,20/3/2022 21:30,,1988 BMW M5 Retro Review | The E28 is where it all began:  https://t.co/IOxUxA8z4m  https://t.co/q671EiTO8R,en,[],[],https://twitter.com/therealautoblog/status/1505537142407274501,['http://bit.ly/3tYe6WG'],"['https://pbs.twimg.com/media/FN_sttYXMAMuRUS.jpg', 'https://pbs.twimg.com/media/FN_sttWXoAEhPim.jpg', 'https://pbs.twimg.com/media/FN_sttFWQAADLcG.jpg', 'https://pbs.twimg.com/media/FN_sttHXIAYX-u8.jpg']",1,https://pbs.twimg.com/media/FN_sttYXMAMuRUS.jpg,22,0,5
1449,1.51E+18,evomagazine,1.65E+12,20/3/2022 21:29,,"The Cadillac CT5-V Blackwing is Detroit's answer to the BMW M5 Competition, and we've put it through its paces -  https://t.co/fnUgUQgmmp  https://t.co/7jkcfXnhxv",en,[],[],https://twitter.com/evomagazine/status/1505536887716515842,['https://evo.co.uk/cadillac/204653/cadillac-ct5-v-blackwing-2022-review-detroit-takes-on-the-bmw-m5-competition'],['https://pbs.twimg.com/media/FOJSQoGXoAMXCXF.jpg'],1,https://pbs.twimg.com/media/FOJSQoGXoAMXCXF.jpg,32,1,1
1451,1.51E+18,BMW,1.65E+12,20/3/2022 21:19,,"@Steve_Yo72 Hi there Steve, due to the current geopolitical situation, we are discontinuing our local production in Russia and vehicle-export to the Russian market.",en,[],[],https://twitter.com/BMW/status/1505534554991435783,[],[],0,,1,0,0
1452,1.51E+18,BMW,1.65E+12,20/3/2022 21:18,,"@pryvyd9 @Danone @ProcterGamble @Unilever @Nestle @AUCHAN_France @leroymerlinfr @IRU_Raiffeisen @CreditAgricole @VW @MercedesBenz @adidas Hi there, due to the current geopolitical situation, we are discontinuing our local production in Russia and vehicle-export to the Russian market.",en,[],[],https://twitter.com/BMW/status/1505534283561242625,[],[],0,,3,1,1
1453,1.51E+18,BMW,1.65E+12,20/3/2022 21:14,,"@BarbaraAshley1 @adidas @Danone @MercedesBenz @VW Hi Barbara, due to the current geopolitical situation, we are discontinuing our local production in Russia and vehicle-export to the Russian market.",en,[],[],https://twitter.com/BMW/status/1505533178982936581,[],[],0,,2,0,0
1454,1.51E+18,BMW,1.65E+12,20/3/2022 21:12,,"@tehnokratu @Danone @ProcterGamble @Unilever @Nestle @AUCHAN_France @leroymerlinfr @IRU_Raiffeisen @CreditAgricole @VW @MercedesBenz @adidas Hi there, due to the current geopolitical situation, we are discontinuing our local production in Russia and vehicle-export to the Russian market.",en,[],[],https://twitter.com/BMW/status/1505532814070108161,[],[],0,,7,1,1
1457,1.51E+18,BMW,1.65E+12,20/3/2022 21:06,,"@fidelpavlenko @OlafScholz Hi Alex, due to the current geopolitical situation, we are discontinuing our local production in Russia and vehicle-export to the Russian market.",en,[],[],https://twitter.com/BMW/status/1505531231118807042,[],[],0,,1,1,0
1458,1.51E+18,BMW,1.65E+12,20/3/2022 21:03,,"@LiliPadPur @demianvonosten @VW @MercedesBenz @adidas @METRO_DE @Henkel Hi Lilli, due to the current geopolitical situation, we are discontinuing our local production in Russia and vehicle-export to the Russian market.",en,[],[],https://twitter.com/BMW/status/1505530548109856775,[],[],0,,2,1,0
1459,1.51E+18,BMW,1.65E+12,20/3/2022 21:00,,"@hruizmee @OlafScholz @TMobile @BASF @Siemens @Armedforcesuk @ua_parliament Hi Henry, due to the current geopolitical situation, we are discontinuing our local production in Russia and vehicle-export to the Russian market.",en,[],[],https://twitter.com/BMW/status/1505529731445317632,[],[],0,,1,1,0
1461,1.51E+18,CARandDRIVER,1.65E+12,20/3/2022 21:00,,.@BMW Level 3 autonomous driving tech is coming in 2025:  https://t.co/96rRxV0wsJ  https://t.co/VOl6JIuCzQ,en,[],[],https://twitter.com/CARandDRIVER/status/1505529669805821953,['http://crdrv.co/Bswfcvr'],['https://pbs.twimg.com/media/FOS3QY2XMAQ9DDB.jpg'],1,https://pbs.twimg.com/media/FOS3QY2XMAQ9DDB.jpg,42,0,6
1462,1.51E+18,BMWi,1.65E+12,20/3/2022 20:52,,"@Olegba_455 @BMW @BMWGroup @BMWMotorsport We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMWi/status/1505527770767581188,[],[],0,,0,0,0
1465,1.51E+18,HTAutotweets,1.65E+12,20/3/2022 20:30,,".@BMW is also gearing up to reveal its all-electric luxury sedan, BMW i7   https://t.co/H7v2pLwYoI",en,[],[],https://twitter.com/HTAutotweets/status/1505522040249409538,['https://auto.hindustantimes.com/auto/news/bmw-teases-new-all-electric-ix1-crossover-takes-influence-from-ix3-41647750033011.html'],[],0,,3,0,0
1466,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 20:25,,"Romantic Warrior creates @BMW Hong Kong Derby history for Danny Shum, @KarisTeetan. #4YOSeries #HKracing   @LeoSchlink reports.    Read here 👉  https://t.co/WIhJCMs9Tj  https://t.co/0ZnHFWqJbw",en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505520878334881793,['https://racingnews.hkjc.com/english/2022/03/20/romantic-warrior-creates-bmw-hong-kong-derby-history-for-danny-shum-karis-teetan/'],"['https://pbs.twimg.com/media/FOSvQVuVcAI0l9x.jpg', 'https://pbs.twimg.com/media/FOSvQVwVIAMaV1c.jpg']",1,https://pbs.twimg.com/media/FOSvQVuVcAI0l9x.jpg,19,0,4
1467,1.51E+18,BMW,1.65E+12,20/3/2022 20:24,,@CarBuzzcom Now that's a classic 😍,en,[],[],https://twitter.com/BMW/status/1505520543533043712,[],[],0,,1,0,0
1470,1.51E+18,BMW,1.65E+12,20/3/2022 19:29,,"So many great #BMW wheel designs to choose from, so we thought we'd ask you for your favorite? Pictures please 📸  https://t.co/aXsx2Y6V3u",en,['bmw'],[],https://twitter.com/BMW/status/1505506917371817985,[],"['https://pbs.twimg.com/media/FOSijdxXMAc-XH6.jpg', 'https://pbs.twimg.com/media/FOSijtvXwAEQCV4.jpg', 'https://pbs.twimg.com/media/FOSijfmXwAAa2ko.jpg', 'https://pbs.twimg.com/media/FOSijvuWUAAGUrl.jpg']",1,https://pbs.twimg.com/media/FOSijdxXMAc-XH6.jpg,1327,166,103
1471,1.51E+18,BMW,1.65E+12,20/3/2022 19:26,,"@kbabenko3009 We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505505940170285057,[],[],0,,1,0,0
1473,1.51E+18,BMW,1.65E+12,20/3/2022 19:25,,"@wordswork4me We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505505830933831683,[],[],0,,48,7,10
1474,1.51E+18,BMW,1.65E+12,20/3/2022 19:19,,"@SobchukOleg We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505504364034670593,[],[],0,,6,0,0
1475,1.51E+18,BMW,1.65E+12,20/3/2022 19:19,,"@kreidun We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505504281465696256,[],[],0,,3,2,2
1476,1.51E+18,BMW,1.65E+12,20/3/2022 19:18,,"@RamaxaRr We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505503952779059201,[],[],0,,2,1,0
1478,1.51E+18,BMW,1.65E+12,20/3/2022 19:15,,"@ehcc_x @Pirelli @F1 We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505503271498260482,[],[],0,,2,0,0
1479,1.51E+18,BMW,1.65E+12,20/3/2022 19:15,,"@Fenix4991 We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505503166699298821,[],[],0,,1,1,0
1480,1.51E+18,MarnMedia,1.65E+12,20/3/2022 19:13,,@Manster415 Leicester players got BMW I8s for winning the league 🤔 @T1LoL,en,[],[],https://twitter.com/MarnMedia/status/1505502723185291264,[],[],0,,0,0,0
1481,1.51E+18,BMW,1.65E+12,20/3/2022 19:13,,"@Gunslinger_74 We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505502690083758081,[],[],0,,0,0,0
1484,1.51E+18,BMW,1.65E+12,20/3/2022 19:08,,"@Dirk_NL We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505501478420717572,[],[],0,,1,0,0
1485,1.51E+18,BMW,1.65E+12,20/3/2022 19:06,,"@JPGallagher1967 We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505501006125277192,[],[],0,,1,0,0
1486,1.51E+18,BMW,1.65E+12,20/3/2022 19:05,,"@GeorgesLascar We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505500837589700609,[],[],0,,3,0,1
1488,1.51E+18,BMW,1.65E+12,20/3/2022 19:03,,"@VanillaTaste85 @DmytroKuleba @Danone @Nestle @Kiehls @MercedesBenz @METRO_News @McKinsey @SchneiderElec @adidas @Henkel We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505500146473259011,[],[],0,,4,0,0
1489,1.51E+18,BMW,1.65E+12,20/3/2022 19:00,,"@DasaKotolup @JA_Allmendinger @volkswagen @Mercedes @adidas @Metro @Henkel We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505499583627116546,[],[],0,,2,0,0
1491,1.51E+18,BMW,1.65E+12,20/3/2022 18:58,,"@r_grunt27 We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505499037423833095,[],[],0,,2,1,0
1492,1.51E+18,BMW,1.65E+12,20/3/2022 18:45,,"@dianinha_mea @IAPonomarenko @KyivIndependent @EmmanuelMacron @Bundeskanzler @leroymerlinfr @Danone @AUCHAN_France @CreditAgricole @vwbrasil @Mercedes We condemn the aggression against Ukraine and follow developments with great concern. Due to the current situation, we are discontinuing our production in Russia and vehicle-export to Russia. Our thoughts are with all those who are experiencing suffering and loss in this war.",en,[],[],https://twitter.com/BMW/status/1505495699122798595,[],[],0,,4,2,2
1493,1.51E+18,BMW,1.65E+12,20/3/2022 18:27,,"@Suieval Great image, Thank you for sharing😀",en,[],[],https://twitter.com/BMW/status/1505491210122768387,[],[],0,,1,0,0
1494,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 18:22,,"Bought for HK$4.8 million out of the 2021 Hong Kong International Sale, Romantic Warrior lifts his earnings to HK$24.81 million with victory in the 145th @BMW Hong Kong Derby at Sha Tin this afternoon. #4YOSeries #HKracing  https://t.co/PgkXeP0XTq",en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505490004508049408,[],['https://pbs.twimg.com/media/FOSRZDaaIAAQBwn.jpg'],1,https://pbs.twimg.com/media/FOSRZDaaIAAQBwn.jpg,23,0,7
1495,1.51E+18,BMW,1.65E+12,20/3/2022 18:21,,@Carshopper_es @BMWEspana @BMWMotorsport Wow! Thanks for sharing . We wish you a Sheer Driving Pleasure always.,en,[],[],https://twitter.com/BMW/status/1505489807715311618,[],[],0,,2,0,1
1499,1.51E+18,roadshow,1.65E+12,20/3/2022 17:51,,2022 BMW Alpina B8 Gran Coupe Review: An Even Grander Tourer  https://t.co/TRPQAa9cY3,en,[],[],https://twitter.com/roadshow/status/1505482032025120771,['https://trib.al/U9EAklP'],[],0,,4,0,0
1503,1.51E+18,Henry_Langston,1.65E+12,20/3/2022 17:40,,Last week we had a BMW technical and now we have a Jeep technical. Style Vs practicality.,en,[],[],https://twitter.com/Henry_Langston/status/1505479293962498048,[],[],0,,1,0,0
1504,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 17:26,,Here he is! Hear from @KarisTeetan after his triumph in the 145th @BMW Hong Kong Derby aboard Romantic Warrior. #4YOSeries #HKracing  https://t.co/XHYQDyVPiT,en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505475962200535043,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1505475571987664899/pu/img/wG8MGJ0frrXslHMu.jpg,46,1,9
1505,1.51E+18,WHR,1.65E+12,20/3/2022 17:19,,"Your 2022 BMW Hong Kong Derby champion, ROMANTIC WARRIOR 😍 @HKJC_Racing  https://t.co/E1VKHMPOSR",en,[],[],https://twitter.com/WHR/status/1505474210172395520,[],"['https://pbs.twimg.com/media/FOSEps2XIAABLCz.jpg', 'https://pbs.twimg.com/media/FOSEps1WUAMbd2w.jpg']",1,https://pbs.twimg.com/media/FOSEps2XIAABLCz.jpg,47,0,4
1506,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 16:59,,Good boy! 💙  Romantic Warrior becomes the first #HKIS graduate to win the @BMW Hong Kong Derby. @KarisTeetan   #4YOSeries | #HKracing  https://t.co/YNbze67aGu,en,"['hkis', '4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505468981867515906,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1505468930533441539/pu/img/A3XUVlt1_5dTRvIB.jpg,38,2,9
1507,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 16:57,,WHAT. A. RACE!? 😱  It's a vintage renewal of the 145th @BMW Hong Kong Derby as Romantic Warrior narrowly overhauls California Spangle for @KarisTeetan &amp; Danny Shum. 🔥  #4YOSeries | #HKracing  https://t.co/A2h4SqW1FG,en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505468489053904899,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1505468049650221056/pu/img/1fUV1ih7pn1G6R6u.jpg,104,4,38
1508,1.51E+18,WHR,1.65E+12,20/3/2022 16:53,,What a race 👏  ROMANTIC WARRIOR and @KarisTeetan hold off California Spangle to win the BMW Hong Kong Derby 🔥 @HKJC_Racing   🎥 @AtTheRaces   https://t.co/m1E8MuT3Sr,en,[],[],https://twitter.com/WHR/status/1505467532538519554,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1505465577233653764/img/8Wb3bt38Mifok_wR.jpg,62,2,13
1509,1.51E+18,pjrydo,1.65E+12,20/3/2022 16:52,,Romantic Warrior becomes the first HKIS purchase to win the @BMW Hong Kong Derby. Great ride from @KarisTeetan -- a first Derby win for the Mauritian Magician 🏇🇭🇰👏 #HKRacing,en,['hkracing'],[],https://twitter.com/pjrydo/status/1505467422920228867,[],[],0,,16,2,1
1510,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 16:52,,CHAMPION! 🏆  @KarisTeetan is all smiles after the 2022 @BMW Hong Kong Derby!   #4YOSeries | #HKracing  https://t.co/aO2vVOA2Kl,en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505467333430575105,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1505467293584670721/pu/img/RhaGNJC5w1Hd1F__.jpg,48,0,14
1511,1.51E+18,AtTheRaces,1.65E+12,20/3/2022 16:48,,Romantic Warrior and @KarisTeetan beat California Spangle and @zpurton in a thrilling 2022 BMW Hong Kong Derby!  https://t.co/xMho5RlXBb,en,[],[],https://twitter.com/AtTheRaces/status/1505466256325058562,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1505465577233653764/img/8Wb3bt38Mifok_wR.jpg,107,2,29
1513,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 16:46,,THRILLER! Romantic Warrior wins the 145th @BMW Hong Kong Derby under @KarisTeetan. 🔥🔥🔥 #4YOSeries #HKracing  https://t.co/akW50brEQl,en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505465734033719296,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1505465689728946176/pu/img/ifLZPYiXLHduTmjq.jpg,90,6,21
1514,1.51E+18,BMWMotorradSA,1.65E+12,20/3/2022 16:45,,"Stefan Schuett is a BMW lifer, whose role as CEO BMW Group Financial Services SA connects BMW’s oldest active business segment (Motorrad) with the youngest (Financial Services).​  Read the interview, here:  https://t.co/QFkBrqM0my  #MakeLifeARide #TheNod #BMWFinancialServices  https://t.co/ghZ0iERGvf",en,"['makelifearide', 'thenod', 'bmwfinancialservices']",[],https://twitter.com/BMWMotorradSA/status/1505465429933838336,['https://fal.cn/3n4Vm'],['https://pbs.twimg.com/media/FOR8044XwAEECbH.jpg'],1,https://pbs.twimg.com/media/FOR8044XwAEECbH.jpg,4,0,0
1515,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 16:34,,Go time! Rocket Spade - 2021 G1 New Zealand Derby winner heads out under @Vincenthocy for the @BMW Hong Kong Derby. #4YOSeries #HKracing  https://t.co/Wdc2oDu4xL,en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505462683994185729,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1505462635810070531/pu/img/qBdJ3-Hh7iEsduOm.jpg,17,2,6
1516,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 16:32,,Romantic Warrior 💥 California Spangle!  Will these two fight out the 145th @BMW Hong Kong Derby?   #4YOSeries | #HKracing  https://t.co/Q2xA6yrlKw,en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505462251767050245,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1505462200005144582/pu/img/jDlf5lQ-kHIy0Zqe.jpg,12,1,6
1517,1.51E+18,WHR,1.65E+12,20/3/2022 16:30,,⏰ Counting down the minutes until the BMW Hong Kong Derby - will SENOR TOBA be victorious for trainer Caspar Fownes and jockey Joao Moreira? @HKJC_Racing  https://t.co/r6QRWPQS5Q,en,[],[],https://twitter.com/WHR/status/1505461698601365504,[],['https://pbs.twimg.com/media/FOH9ih-XMAI9xNk.jpg'],1,https://pbs.twimg.com/media/FOH9ih-XMAI9xNk.jpg,13,0,1
1518,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 16:26,,Tactics. Team California Spangle ahead of the 145th @BMW Hong Kong Derby. #4YOSeries #HKracing  https://t.co/BYQitcUtMi,en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505460665607098373,[],['https://pbs.twimg.com/media/FOR4fh-VEAAapD9.jpg'],1,https://pbs.twimg.com/media/FOR4fh-VEAAapD9.jpg,14,1,4
1520,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 16:03,,Here they come! Runners are heading for the 145th edition of the @BMW Hong Kong Derby. #4YOSeries #HKracing  https://t.co/WZtrVLNADV,en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505455044778360832,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1505454992613806086/pu/img/qmAaKt8dIIv5eSUW.jpg,13,0,4
1522,1.51E+18,Ma3Route,1.65E+12,20/3/2022 15:41,,10:41 Please help me spread the word. I lost a number plate for my my car an blue BMW E34 (KAG 051T) along Kangundo road all the way to Buruburu shopping center. Please sambaza via Ben Odhis,en,[],[],https://twitter.com/Ma3Route/status/1505449414197981185,[],[],0,,20,0,17
1528,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 15:00,,"Vengeance Of Rain! 🤩  Sublime in 2005, the 145th @BMW Hong Kong Derby will be run shortly at Sha Tin! 🏆  #4YOSeries | #HKracing  https://t.co/OWDKKFqqkG",en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505438992983986178,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1505042581910339588/pu/img/Z8uQ049w4Dje_91N.jpg,17,0,3
1531,1.51E+18,7NewsAdelaide,1.65E+12,20/3/2022 14:52,,"A driver has escaped uninjured after crashing through the wall of her garage at Novar Gardens. The BMW ended up inside another room following the crash, and had to be removed by SES and MFS crews. 7NEWS Adelaide at 6pm |  https://t.co/8ftPfFYTVQ #7NEWS  https://t.co/RPFN8Qlkho",en,['7news'],[],https://twitter.com/7NewsAdelaide/status/1505436979579658242,['http://www.7NEWS.com.au'],"['https://pbs.twimg.com/media/FORU1z7UYAQ9c5a.jpg', 'https://pbs.twimg.com/media/FORU1z7VsAMqvYL.jpg', 'https://pbs.twimg.com/media/FORU1z6VUAEyTQU.jpg', 'https://pbs.twimg.com/media/FORU1z6UYAMCkTz.jpg']",1,https://pbs.twimg.com/media/FORU1z7UYAQ9c5a.jpg,0,2,0
1532,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 14:48,,'Magic Man' means business today.   The 145th HK$24 million @BMW Hong Kong Derby is only two hours away... 🏆   @4YOSeries | #HKracing  https://t.co/b4d3yCcydz,en,['hkracing'],[],https://twitter.com/HKJC_Racing/status/1505436068929499143,[],['https://pbs.twimg.com/media/FORh41JaMAI8zJj.jpg'],1,https://pbs.twimg.com/media/FORh41JaMAI8zJj.jpg,9,0,3
1533,1.51E+18,bmwindia,1.65E+12,20/3/2022 14:46,,"An elegant fusion of majestic presence and athletic character. Meet the #BMW X7.  #BMWX7 #ThePresident   To know more, visit  https://t.co/1Ze2KhEjhL  https://t.co/Vmp6uIdGPW",en,"['bmw', 'bmwx7', 'thepresident']",[],https://twitter.com/bmwindia/status/1505435666838323200,['http://bmw.in/X7'],['https://pbs.twimg.com/media/FORhcSMaUAge_kB.jpg'],1,https://pbs.twimg.com/media/FORhcSMaUAge_kB.jpg,130,2,13
1536,1.51E+18,HKJC_Racing,1.65E+12,20/3/2022 13:19,,LIVE: 145th HK$24 million @BMW Hong Kong Derby (2000m) at Sha Tin. #4YOSeries #HKracing   https://t.co/Tn3lsnUZta,en,"['4yoseries', 'hkracing']",[],https://twitter.com/HKJC_Racing/status/1505413583764881409,['https://twitter.com/i/broadcasts/1zqKVBbYkzPKB'],[],0,,66,0,24
1537,1.51E+18,roadshow,1.65E+12,20/3/2022 12:38,,"BMW Recalls More Than a Million Cars, Most for the Third Time, Over Engine-Fire Risk  https://t.co/j240PPlznr",en,[],[],https://twitter.com/roadshow/status/1505403400606920706,['https://trib.al/H1Iku1Q'],[],0,,3,1,3
